"Asset values and income are colored to denote the change in value from the previous year's filing (increase, decrease, no change)
",,,,,,,,,,,,,,,,,,,,,,,
2017_ID #,New 2017 Asset,2017_Page,2017_Description,2017_Underlying Assets,2017_Location,2017_EIF,2017_attached schedule,2017_Min Value,2017_Max Value,%Change_Value,2016_Min Value,2016_Max Value,2017_Income Type,2017_Min Income,2017_Max Income,2017_Income Exact,%Change_Income,2016_Min Income,2016_Max Income,2016_Income Exact,2016_ID #,2016_Page,2016_Description
137,,25,Trump Marks Philippines LLC,license deal,"New York, NY",N/A,367,"$1,001","$15,000",,,,royalties,"$1,000,001","$5,000,000",,0%,"$1,000,001","$5,000,000",,137,25,Trump Marks Philippines LLC
139,,25,Trump Marks Stamford LLC,license deal,"New York, NY",N/A,380,,,0%,,,royalties,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,139,25,Trump Marks Stamford LLC
140,,25,Trump Marks Sunny Isles I LLC,license deal,"New York, NY",N/A,381,,,0%,,,royalties,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,140,25,Trump Marks Sunny Isles I LLC
141,,25,Trump Panama Hotel Management LLC,management agreement,"New York, NY",N/A,417,"$15,001","$50,000",,,,management fees,,,"$810,795",-58%,,,"$1,280,599",141,25,Trump Panama Hotel Management LLC
142,,25,Trump Toronto Hotel Management Corp,license deal,"New York, NY",N/A,442,"$1,001","$15,000",,,,management fees,,,"$559,904",-9%,,,"$611,864",142,25,Trump Toronto Hotel Management Corp
143,,25,TW Venture I LLC,transportation services,"Palm Beach, FL",N/A,462,,,0%,,,operating income,,,"$185,601",-31%,,,"$243,899",143,25,TW Venture I LLC
144,,25,Trump Management Inc,management co,"Manhasset, NY",N/A,480,"$15,001","$50,000",,,,management fees,,,"$30,000",-367%,,,"$140,000",144,25,Trump Management Inc
145,,25,Ritz Carlton Hotel at 112 Central Park South,management agreement,"New York, NY",N/A,535,"$15,001","$50,000",,,,management fees,,,"$286,125",0%,,,"$286,000",145,25,Ritz Carlton Hotel at 112 Central Park South
146,,26,Think Like A Champion,book,"New York, NY",N/A,,,,0%,,,royalties,"$15,001","$50,000",,0%,"$15,001","$50,000",,146,26,Think Like A Champion
147,,26,The Art of The Deal,book,"New York, NY",N/A,,,,0%,,,royalties,"$100,001","$1,000,000",,633%,"$50,001","$100,000",,147,26,The Art of The Deal
148,,26,Time to Get Tough,book,"New York, NY",N/A,,,,0%,,,royalties,"$100,001","$1,000,000",,0%,"$100,001","$1,000,000",,148,26,Time to Get Tough
149,,26,Think Like a Billionaire,book,"New York, NY",N/A,,,,0%,,,,$0,$201,,0%,$0,$201,,149,26,Think Like a Billionaire
